"order","n_china_species","n_new_species","prop_new_species","prop_pct","colour_hex","correspondence_note"
"Passeriformes",860,289,0.336046511627907,33.6046511627907,"#19E51E","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Charadriiformes",142,60,0.422535211267606,42.2535211267606,"#FFF000","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Anseriformes",58,29,0.5,50,"#00E8F2","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Accipitriformes",55,28,0.509090909090909,50.9090909090909,"#FF1A1A","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Pelecaniformes",35,18,0.514285714285714,51.4285714285714,"#FF8ED1","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Gruiformes",29,15,0.517241379310345,51.7241379310345,"#13D7E0","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Strigiformes",32,11,0.34375,34.375,"#FF8C25","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Columbiformes",34,11,0.323529411764706,32.3529411764706,"#9CCAE1","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Galliformes",64,9,0.140625,14.0625,"#B2E84D","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Coraciiformes",23,8,0.347826086956522,34.7826086956522,"#FFBF52","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Piciformes",43,8,0.186046511627907,18.6046511627907,"#39D6D0","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Suliformes",13,6,0.461538461538462,46.1538461538462,"#8E6AE8","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Procellariiformes",19,5,0.263157894736842,26.3157894736842,"#7CC7F2","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Ciconiiformes",7,4,0.571428571428571,57.1428571428571,"#A8D8F8","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Cuculiformes",20,4,0.2,20,"#71BFFF","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Caprimulgiformes",22,4,0.181818181818182,18.1818181818182,"#8E7CD7","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Gaviiformes",4,3,0.75,75,"#1EB2D8","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Podicipediformes",5,3,0.6,60,"#7E57FF","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Phoenicopteriformes",1,1,1,100,"#F4B5FF","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Otidiformes",3,1,0.333333333333333,33.3333333333333,"#F4A100","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Pterocliformes",3,1,0.333333333333333,33.3333333333333,"#FF5CB8","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Trogoniformes",3,1,0.333333333333333,33.3333333333333,"#F04E98","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
"Falconiformes",12,1,0.0833333333333333,8.33333333333333,"#F06A6A","Order label text, labelled proportion bubble, coloured new-record branches, coloured sector arc, and coloured new-record outer-ring blocks should all use the same order colour."
