order,direction,count,n_total,proportion
Accipitriformes,East,12,38,0.3157894736842105
Accipitriformes,North,6,38,0.15789473684210525
Accipitriformes,Northeast,8,38,0.21052631578947367
Accipitriformes,Northwest,3,38,0.07894736842105263
Accipitriformes,South,0,38,0
Accipitriformes,Southeast,5,38,0.13157894736842105
Accipitriformes,Southwest,3,38,0.07894736842105263
Accipitriformes,West,1,38,0.02631578947368421
Anseriformes,East,14,36,0.3888888888888889
Anseriformes,North,1,36,0.027777777777777776
Anseriformes,Northeast,2,36,0.05555555555555555
Anseriformes,Northwest,0,36,0
Anseriformes,South,5,36,0.1388888888888889
Anseriformes,Southeast,9,36,0.25
Anseriformes,Southwest,3,36,0.08333333333333333
Anseriformes,West,2,36,0.05555555555555555
Caprimulgiformes,East,1,4,0.25
Caprimulgiformes,North,1,4,0.25
Caprimulgiformes,Northeast,1,4,0.25
Caprimulgiformes,Northwest,0,4,0
Caprimulgiformes,South,1,4,0.25
Caprimulgiformes,Southeast,0,4,0
Caprimulgiformes,Southwest,0,4,0
Caprimulgiformes,West,0,4,0
Charadriiformes,East,25,65,0.38461538461538464
Charadriiformes,North,0,65,0
Charadriiformes,Northeast,7,65,0.1076923076923077
Charadriiformes,Northwest,2,65,0.03076923076923077
Charadriiformes,South,3,65,0.046153846153846156
Charadriiformes,Southeast,16,65,0.24615384615384617
Charadriiformes,Southwest,11,65,0.16923076923076924
Charadriiformes,West,1,65,0.015384615384615385
Ciconiiformes,East,2,6,0.3333333333333333
Ciconiiformes,North,0,6,0
Ciconiiformes,Northeast,2,6,0.3333333333333333
Ciconiiformes,Northwest,0,6,0
Ciconiiformes,South,0,6,0
Ciconiiformes,Southeast,1,6,0.16666666666666666
Ciconiiformes,Southwest,1,6,0.16666666666666666
Ciconiiformes,West,0,6,0
Columbiformes,East,5,16,0.3125
Columbiformes,North,2,16,0.125
Columbiformes,Northeast,5,16,0.3125
Columbiformes,Northwest,3,16,0.1875
Columbiformes,South,0,16,0
Columbiformes,Southeast,0,16,0
Columbiformes,Southwest,1,16,0.0625
Columbiformes,West,0,16,0
Coraciiformes,East,3,11,0.2727272727272727
Coraciiformes,North,2,11,0.18181818181818182
Coraciiformes,Northeast,4,11,0.36363636363636365
Coraciiformes,Northwest,1,11,0.09090909090909091
Coraciiformes,South,0,11,0
Coraciiformes,Southeast,0,11,0
Coraciiformes,Southwest,0,11,0
Coraciiformes,West,1,11,0.09090909090909091
Cuculiformes,East,1,8,0.125
Cuculiformes,North,2,8,0.25
Cuculiformes,Northeast,3,8,0.375
Cuculiformes,Northwest,2,8,0.25
Cuculiformes,South,0,8,0
Cuculiformes,Southeast,0,8,0
Cuculiformes,Southwest,0,8,0
Cuculiformes,West,0,8,0
Falconiformes,East,0,2,0
Falconiformes,North,0,2,0
Falconiformes,Northeast,0,2,0
Falconiformes,Northwest,1,2,0.5
Falconiformes,South,0,2,0
Falconiformes,Southeast,1,2,0.5
Falconiformes,Southwest,0,2,0
Falconiformes,West,0,2,0
Galliformes,East,1,8,0.125
Galliformes,North,0,8,0
Galliformes,Northeast,4,8,0.5
Galliformes,Northwest,1,8,0.125
Galliformes,South,1,8,0.125
Galliformes,Southeast,1,8,0.125
Galliformes,Southwest,0,8,0
Galliformes,West,0,8,0
Gaviiformes,East,2,5,0.4
Gaviiformes,North,0,5,0
Gaviiformes,Northeast,0,5,0
Gaviiformes,Northwest,0,5,0
Gaviiformes,South,1,5,0.2
Gaviiformes,Southeast,2,5,0.4
Gaviiformes,Southwest,0,5,0
Gaviiformes,West,0,5,0
Gruiformes,East,3,13,0.23076923076923078
Gruiformes,North,2,13,0.15384615384615385
Gruiformes,Northeast,2,13,0.15384615384615385
Gruiformes,Northwest,1,13,0.07692307692307693
Gruiformes,South,1,13,0.07692307692307693
Gruiformes,Southeast,0,13,0
Gruiformes,Southwest,4,13,0.3076923076923077
Gruiformes,West,0,13,0
Otidiformes,East,1,1,1
Otidiformes,North,0,1,0
Otidiformes,Northeast,0,1,0
Otidiformes,Northwest,0,1,0
Otidiformes,South,0,1,0
Otidiformes,Southeast,0,1,0
Otidiformes,Southwest,0,1,0
Otidiformes,West,0,1,0
Passeriformes,East,120,332,0.3614457831325301
Passeriformes,North,26,332,0.0783132530120482
Passeriformes,Northeast,76,332,0.2289156626506024
Passeriformes,Northwest,22,332,0.06626506024096386
Passeriformes,South,12,332,0.03614457831325301
Passeriformes,Southeast,32,332,0.0963855421686747
Passeriformes,Southwest,29,332,0.08734939759036145
Passeriformes,West,15,332,0.045180722891566265
Pelecaniformes,East,5,18,0.2777777777777778
Pelecaniformes,North,3,18,0.16666666666666666
Pelecaniformes,Northeast,5,18,0.2777777777777778
Pelecaniformes,Northwest,0,18,0
Pelecaniformes,South,0,18,0
Pelecaniformes,Southeast,1,18,0.05555555555555555
Pelecaniformes,Southwest,3,18,0.16666666666666666
Pelecaniformes,West,1,18,0.05555555555555555
Phoenicopteriformes,East,0,1,0
Phoenicopteriformes,North,0,1,0
Phoenicopteriformes,Northeast,1,1,1
Phoenicopteriformes,Northwest,0,1,0
Phoenicopteriformes,South,0,1,0
Phoenicopteriformes,Southeast,0,1,0
Phoenicopteriformes,Southwest,0,1,0
Phoenicopteriformes,West,0,1,0
Piciformes,East,4,10,0.4
Piciformes,North,2,10,0.2
Piciformes,Northeast,3,10,0.3
Piciformes,Northwest,1,10,0.1
Piciformes,South,0,10,0
Piciformes,Southeast,0,10,0
Piciformes,Southwest,0,10,0
Piciformes,West,0,10,0
Podicipediformes,East,3,3,1
Podicipediformes,North,0,3,0
Podicipediformes,Northeast,0,3,0
Podicipediformes,Northwest,0,3,0
Podicipediformes,South,0,3,0
Podicipediformes,Southeast,0,3,0
Podicipediformes,Southwest,0,3,0
Podicipediformes,West,0,3,0
Procellariiformes,East,2,4,0.5
Procellariiformes,North,0,4,0
Procellariiformes,Northeast,1,4,0.25
Procellariiformes,Northwest,1,4,0.25
Procellariiformes,South,0,4,0
Procellariiformes,Southeast,0,4,0
Procellariiformes,Southwest,0,4,0
Procellariiformes,West,0,4,0
Pterocliformes,East,0,1,0
Pterocliformes,North,0,1,0
Pterocliformes,Northeast,0,1,0
Pterocliformes,Northwest,0,1,0
Pterocliformes,South,0,1,0
Pterocliformes,Southeast,1,1,1
Pterocliformes,Southwest,0,1,0
Pterocliformes,West,0,1,0
Strigiformes,East,4,10,0.4
Strigiformes,North,3,10,0.3
Strigiformes,Northeast,2,10,0.2
Strigiformes,Northwest,0,10,0
Strigiformes,South,0,10,0
Strigiformes,Southeast,0,10,0
Strigiformes,Southwest,1,10,0.1
Strigiformes,West,0,10,0
Suliformes,East,2,5,0.4
Suliformes,North,1,5,0.2
Suliformes,Northeast,2,5,0.4
Suliformes,Northwest,0,5,0
Suliformes,South,0,5,0
Suliformes,Southeast,0,5,0
Suliformes,Southwest,0,5,0
Suliformes,West,0,5,0
Trogoniformes,East,0,1,0
Trogoniformes,North,0,1,0
Trogoniformes,Northeast,0,1,0
Trogoniformes,Northwest,0,1,0
Trogoniformes,South,0,1,0
Trogoniformes,Southeast,0,1,0
Trogoniformes,Southwest,0,1,0
Trogoniformes,West,1,1,1
