order,direction,count,n_total,proportion
Passeriformes,East,120,332,0.3614457831325301
Charadriiformes,East,25,65,0.38461538461538464
Accipitriformes,East,12,38,0.3157894736842105
Anseriformes,East,14,36,0.3888888888888889
Pelecaniformes,Northeast,5,18,0.2777777777777778
Pelecaniformes,East,5,18,0.2777777777777778
Columbiformes,Northeast,5,16,0.3125
Columbiformes,East,5,16,0.3125
Gruiformes,Southwest,4,13,0.3076923076923077
Coraciiformes,Northeast,4,11,0.36363636363636365
Piciformes,East,4,10,0.4
Strigiformes,East,4,10,0.4
Cuculiformes,Northeast,3,8,0.375
Galliformes,Northeast,4,8,0.5
Ciconiiformes,Northeast,2,6,0.3333333333333333
Ciconiiformes,East,2,6,0.3333333333333333
Gaviiformes,East,2,5,0.4
Gaviiformes,Southeast,2,5,0.4
Suliformes,Northeast,2,5,0.4
Suliformes,East,2,5,0.4
Caprimulgiformes,North,1,4,0.25
Caprimulgiformes,Northeast,1,4,0.25
Caprimulgiformes,East,1,4,0.25
Caprimulgiformes,South,1,4,0.25
Procellariiformes,East,2,4,0.5
Podicipediformes,East,3,3,1
Falconiformes,Southeast,1,2,0.5
Falconiformes,Northwest,1,2,0.5
Otidiformes,East,1,1,1
Phoenicopteriformes,Northeast,1,1,1
Pterocliformes,Southeast,1,1,1
Trogoniformes,West,1,1,1
