order,direction,count,n_total,proportion
Accipitriformes,East,12,37,0.32432432432432434
Accipitriformes,North,6,37,0.16216216216216217
Accipitriformes,Northeast,9,37,0.24324324324324326
Accipitriformes,Northwest,2,37,0.05405405405405406
Accipitriformes,South,0,37,0
Accipitriformes,Southeast,4,37,0.10810810810810811
Accipitriformes,Southwest,3,37,0.08108108108108109
Accipitriformes,West,1,37,0.02702702702702703
Anseriformes,East,16,36,0.4444444444444444
Anseriformes,North,1,36,0.027777777777777776
Anseriformes,Northeast,2,36,0.05555555555555555
Anseriformes,Northwest,0,36,0
Anseriformes,South,4,36,0.1111111111111111
Anseriformes,Southeast,8,36,0.2222222222222222
Anseriformes,Southwest,3,36,0.08333333333333333
Anseriformes,West,2,36,0.05555555555555555
Caprimulgiformes,East,1,4,0.25
Caprimulgiformes,North,1,4,0.25
Caprimulgiformes,Northeast,1,4,0.25
Caprimulgiformes,Northwest,0,4,0
Caprimulgiformes,South,1,4,0.25
Caprimulgiformes,Southeast,0,4,0
Caprimulgiformes,Southwest,0,4,0
Caprimulgiformes,West,0,4,0
Charadriiformes,East,33,75,0.44
Charadriiformes,North,0,75,0
Charadriiformes,Northeast,7,75,0.09333333333333334
Charadriiformes,Northwest,1,75,0.013333333333333334
Charadriiformes,South,3,75,0.04
Charadriiformes,Southeast,18,75,0.24
Charadriiformes,Southwest,12,75,0.16
Charadriiformes,West,1,75,0.013333333333333334
Ciconiiformes,East,1,6,0.16666666666666666
Ciconiiformes,North,1,6,0.16666666666666666
Ciconiiformes,Northeast,2,6,0.3333333333333333
Ciconiiformes,Northwest,0,6,0
Ciconiiformes,South,0,6,0
Ciconiiformes,Southeast,1,6,0.16666666666666666
Ciconiiformes,Southwest,1,6,0.16666666666666666
Ciconiiformes,West,0,6,0
Columbiformes,East,5,16,0.3125
Columbiformes,North,2,16,0.125
Columbiformes,Northeast,5,16,0.3125
Columbiformes,Northwest,3,16,0.1875
Columbiformes,South,0,16,0
Columbiformes,Southeast,0,16,0
Columbiformes,Southwest,1,16,0.0625
Columbiformes,West,0,16,0
Coraciiformes,East,3,13,0.23076923076923078
Coraciiformes,North,3,13,0.23076923076923078
Coraciiformes,Northeast,4,13,0.3076923076923077
Coraciiformes,Northwest,1,13,0.07692307692307693
Coraciiformes,South,0,13,0
Coraciiformes,Southeast,0,13,0
Coraciiformes,Southwest,0,13,0
Coraciiformes,West,2,13,0.15384615384615385
Cuculiformes,East,1,10,0.1
Cuculiformes,North,4,10,0.4
Cuculiformes,Northeast,3,10,0.3
Cuculiformes,Northwest,2,10,0.2
Cuculiformes,South,0,10,0
Cuculiformes,Southeast,0,10,0
Cuculiformes,Southwest,0,10,0
Cuculiformes,West,0,10,0
Falconiformes,East,0,2,0
Falconiformes,North,0,2,0
Falconiformes,Northeast,0,2,0
Falconiformes,Northwest,1,2,0.5
Falconiformes,South,0,2,0
Falconiformes,Southeast,1,2,0.5
Falconiformes,Southwest,0,2,0
Falconiformes,West,0,2,0
Galliformes,East,3,11,0.2727272727272727
Galliformes,North,0,11,0
Galliformes,Northeast,4,11,0.36363636363636365
Galliformes,Northwest,1,11,0.09090909090909091
Galliformes,South,2,11,0.18181818181818182
Galliformes,Southeast,1,11,0.09090909090909091
Galliformes,Southwest,0,11,0
Galliformes,West,0,11,0
Gaviiformes,East,3,7,0.42857142857142855
Gaviiformes,North,0,7,0
Gaviiformes,Northeast,0,7,0
Gaviiformes,Northwest,0,7,0
Gaviiformes,South,1,7,0.14285714285714285
Gaviiformes,Southeast,3,7,0.42857142857142855
Gaviiformes,Southwest,0,7,0
Gaviiformes,West,0,7,0
Gruiformes,East,3,15,0.2
Gruiformes,North,2,15,0.13333333333333333
Gruiformes,Northeast,3,15,0.2
Gruiformes,Northwest,1,15,0.06666666666666667
Gruiformes,South,1,15,0.06666666666666667
Gruiformes,Southeast,1,15,0.06666666666666667
Gruiformes,Southwest,4,15,0.26666666666666666
Gruiformes,West,0,15,0
Otidiformes,East,1,1,1
Otidiformes,North,0,1,0
Otidiformes,Northeast,0,1,0
Otidiformes,Northwest,0,1,0
Otidiformes,South,0,1,0
Otidiformes,Southeast,0,1,0
Otidiformes,Southwest,0,1,0
Otidiformes,West,0,1,0
Passeriformes,East,128,351,0.3646723646723647
Passeriformes,North,29,351,0.08262108262108261
Passeriformes,Northeast,83,351,0.23646723646723647
Passeriformes,Northwest,23,351,0.06552706552706553
Passeriformes,South,11,351,0.03133903133903134
Passeriformes,Southeast,33,351,0.09401709401709402
Passeriformes,Southwest,31,351,0.08831908831908832
Passeriformes,West,13,351,0.037037037037037035
Pelecaniformes,East,6,22,0.2727272727272727
Pelecaniformes,North,3,22,0.13636363636363635
Pelecaniformes,Northeast,5,22,0.22727272727272727
Pelecaniformes,Northwest,1,22,0.045454545454545456
Pelecaniformes,South,0,22,0
Pelecaniformes,Southeast,1,22,0.045454545454545456
Pelecaniformes,Southwest,4,22,0.18181818181818182
Pelecaniformes,West,2,22,0.09090909090909091
Phoenicopteriformes,East,0,2,0
Phoenicopteriformes,North,1,2,0.5
Phoenicopteriformes,Northeast,1,2,0.5
Phoenicopteriformes,Northwest,0,2,0
Phoenicopteriformes,South,0,2,0
Phoenicopteriformes,Southeast,0,2,0
Phoenicopteriformes,Southwest,0,2,0
Phoenicopteriformes,West,0,2,0
Piciformes,East,4,10,0.4
Piciformes,North,2,10,0.2
Piciformes,Northeast,3,10,0.3
Piciformes,Northwest,1,10,0.1
Piciformes,South,0,10,0
Piciformes,Southeast,0,10,0
Piciformes,Southwest,0,10,0
Piciformes,West,0,10,0
Podicipediformes,East,3,3,1
Podicipediformes,North,0,3,0
Podicipediformes,Northeast,0,3,0
Podicipediformes,Northwest,0,3,0
Podicipediformes,South,0,3,0
Podicipediformes,Southeast,0,3,0
Podicipediformes,Southwest,0,3,0
Podicipediformes,West,0,3,0
Procellariiformes,East,4,6,0.6666666666666666
Procellariiformes,North,0,6,0
Procellariiformes,Northeast,1,6,0.16666666666666666
Procellariiformes,Northwest,1,6,0.16666666666666666
Procellariiformes,South,0,6,0
Procellariiformes,Southeast,0,6,0
Procellariiformes,Southwest,0,6,0
Procellariiformes,West,0,6,0
Pterocliformes,East,0,1,0
Pterocliformes,North,0,1,0
Pterocliformes,Northeast,0,1,0
Pterocliformes,Northwest,0,1,0
Pterocliformes,South,0,1,0
Pterocliformes,Southeast,1,1,1
Pterocliformes,Southwest,0,1,0
Pterocliformes,West,0,1,0
Strigiformes,East,4,13,0.3076923076923077
Strigiformes,North,3,13,0.23076923076923078
Strigiformes,Northeast,3,13,0.23076923076923078
Strigiformes,Northwest,0,13,0
Strigiformes,South,0,13,0
Strigiformes,Southeast,0,13,0
Strigiformes,Southwest,2,13,0.15384615384615385
Strigiformes,West,1,13,0.07692307692307693
Suliformes,East,3,6,0.5
Suliformes,North,1,6,0.16666666666666666
Suliformes,Northeast,2,6,0.3333333333333333
Suliformes,Northwest,0,6,0
Suliformes,South,0,6,0
Suliformes,Southeast,0,6,0
Suliformes,Southwest,0,6,0
Suliformes,West,0,6,0
Trogoniformes,East,0,1,0
Trogoniformes,North,0,1,0
Trogoniformes,Northeast,0,1,0
Trogoniformes,Northwest,0,1,0
Trogoniformes,South,0,1,0
Trogoniformes,Southeast,0,1,0
Trogoniformes,Southwest,0,1,0
Trogoniformes,West,1,1,1
