species,match_status,n_raw,n_clean,n_cell_unique,model_status,skip_reason,cv_strategy,maxent_engine
Abroscopus albogularis,matched,2,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Acanthis flammea,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Accipiter badius,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Accipiter gularis,matched,3,3,3,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Accipiter soloensis,matched,7,7,7,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Accipiter trivirgatus,matched,11,11,11,modeled,NA,random_repeated,maxnet::maxnet
Accipiter virgatus,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Acridotheres cristatellus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Acridotheres tristis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Acrocephalus agricola,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Acrocephalus bistrigiceps,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Acrocephalus concinens,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Acrocephalus dumetorum,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Acrocephalus orientalis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Acrocephalus tangorum,matched,8,8,8,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Aegithalos bonvaloti,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Aegithalos caudatus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Aegithalos concinnus,matched,7,7,7,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Aegithalos fuliginosus,matched,20,20,20,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Aerodramus brevirostris,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Aethopyga christinae,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Aethopyga gouldiae,matched,5,5,5,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Agropsar philippensis,matched,4,4,4,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Agropsar sturninus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Aix galericulata,matched,3,3,3,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Alauda gulgula,matched,4,4,4,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Alaudala cheleensis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Alaudala heinei,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Alcedo hercules,matched,2,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Alcippe morrisonia,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Amaurornis cinerea,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Amaurornis phoenicurus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Anas carolinensis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Anastomus oscitans,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Anhinga melanogaster,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Anous stolidus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Anser albifrons,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Anser anser,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Anser caerulescens,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Anser erythropus,matched,14,14,14,modeled,NA,random_repeated,maxnet::maxnet
Anser fabalis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Anser indicus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Anthreptes malacensis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Anthus godlewskii,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Anthus gustavi,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Anthus pratensis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Anthus richardi,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Anthus roseatus,matched,3,3,3,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Anthus trivialis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Aquila fasciata,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Aquila heliaca,matched,33,33,33,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ardea intermedia,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Ardea purpurea,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Ardenna pacifica,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Ardenna tenuirostris,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Ardeola bacchus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Ardeola grayii,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Ardeola speciosa,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Arenaria interpres,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Artamus fuscus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Asarcornis scutulata,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Asio flammeus,matched,4,4,4,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Athene noctua,matched,9,9,9,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Aviceda jerdoni,matched,2,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Aviceda leuphotes,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Aythya collaris,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Aythya fuligula,matched,4,4,4,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Aythya nyroca,matched,51,51,51,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Bombycilla japonica,matched,24,24,24,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Brachyramphus perdix,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Branta bernicla,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Branta canadensis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Branta hutchinsii,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Branta leucopsis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Branta ruficollis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Bubo nipalensis,matched,4,4,4,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
