term,estimate,std.error,statistic,p.value,conf.low,conf.high,climate_spec,climate_label,climate_var,effort_spec,effort_label,effort_var,hr,hr_lower,hr_upper
year_c,0.00318389850535877,0.0130876418777248,0.243275185484542,0.807792226153098,-0.0224678795749819,0.0288356765856994,clim_orig,"Temp gradient
(legacy)",temp_grad_z,spec_A,Record-based,log_effort_record_z,1.0031889724938,0.977782643483026,1.0292554498086
temp_grad_z,-0.116952989324826,0.0497841267830504,-2.34920238401458,0.0188136777021155,-0.214529877819605,-0.0193761008300474,clim_orig,"Temp gradient
(legacy)",temp_grad_z,spec_A,Record-based,log_effort_record_z,0.889627014146975,0.806920702340554,0.980810409256353
log_effort_record_z,-0.064148045704928,0.0802569770003996,-0.799283104129484,0.424126273616959,-0.221451720625711,0.0931556292158553,clim_orig,"Temp gradient
(legacy)",temp_grad_z,spec_A,Record-based,log_effort_record_z,0.937866142198217,0.801354610113172,1.09763254566857
temp_grad_z:log_effort_record_z,0.192555867701931,0.0447502431862075,4.30290103454183,1.68576161411112e-05,0.104845391056964,0.280266344346897,clim_orig,"Temp gradient
(legacy)",temp_grad_z,spec_A,Record-based,log_effort_record_z,1.21234423270172,1.11053889783671,1.32348226741829
year_c,-0.0327204338820645,0.0158534637280443,-2.06392965243192,0.0390243867996097,-0.0637932227890313,-0.00164764497509775,clim_orig,"Temp gradient
(legacy)",temp_grad_z,spec_B,Observer visits,log_effort_visits_z,0.967809088401672,0.938198977642843,0.998353711646705
temp_grad_z,-0.139323333177621,0.0495262083935029,-2.81312334816041,0.00490628268966881,-0.236394701628887,-0.0422519647263555,clim_orig,"Temp gradient
(legacy)",temp_grad_z,spec_B,Observer visits,log_effort_visits_z,0.869946700348362,0.789469007725964,0.958628209645566
log_effort_visits_z,0.199779652075654,0.101729997197634,1.96382244744916,0.049550685947391,0.00038885756829099,0.399170446583017,clim_orig,"Temp gradient
(legacy)",temp_grad_z,spec_B,Observer visits,log_effort_visits_z,1.22113365424695,1.0003889331832,1.49058766253009
temp_grad_z:log_effort_visits_z,0.255955465386821,0.0452367484662596,5.65813136586791,1.53029987790919e-08,0.167291438392952,0.34461949238069,clim_orig,"Temp gradient
(legacy)",temp_grad_z,spec_B,Observer visits,log_effort_visits_z,1.29169520151261,1.18209872406412,1.41145274895009
year_c,-0.0189413242423057,0.0103141382135383,-1.83644274006756,0.0662922033434615,-0.0391570351408407,0.00127438665622927,clim_orig,"Temp gradient
(legacy)",temp_grad_z,spec_C,PCA composite,effort_pc1_z,0.981236935374377,0.961599692346085,1.00127519903196
temp_grad_z,-0.104186567631349,0.0493093412543495,-2.11291745095375,0.0346078339476992,-0.200832876489874,-0.00754025877282369,clim_orig,"Temp gradient
(legacy)",temp_grad_z,spec_C,PCA composite,effort_pc1_z,0.901057173635869,0.818049135373289,0.992488097661977
effort_pc1_z,0.0939818496207755,0.0520144154693892,1.80684236807553,0.0707868605819919,-0.00796640469922735,0.195930103940778,clim_orig,"Temp gradient
(legacy)",temp_grad_z,spec_C,PCA composite,effort_pc1_z,1.09853980682214,0.992065243007447,1.21644187786927
temp_grad_z:effort_pc1_z,0.162605452594193,0.0404401638801524,4.02089005069532,5.79786630401298e-05,0.0833427313890944,0.241868173799292,clim_orig,"Temp gradient
(legacy)",temp_grad_z,spec_C,PCA composite,effort_pc1_z,1.17657238451723,1.08691426435409,1.27362628443488
